,function,file,time,lines,test_no
195,save CSV File,ideal.csv,16.203125,100000,3
196,fill SQL Database,ideal.csv,15.203125,100000,3
197,fill SQL Database,train.csv,1.9375,100000,3
198,GET SQL Data,ideal.csv,5.234375,100000,3
199,GET SQL Data,train.csv,0.875,100000,3
200,Finding all Ideal Functions,,0.578125,100000,3
201,Assigning test data,,1550.90625,100000,3
202,fill SQL Database,test.csv,2.265625,100000,3
203,vis results,,1.84375,100000,3
204,load CSV File,train.csv,0.0,100,4
205,interpolate Data,train.csv,0.0,100,4
206,save CSV File,train.csv,0.0,100,4
207,load CSV File,test.csv,0.0,100,4
208,interpolate Data,test.csv,0.0,100,4
209,save CSV File,test.csv,0.0,100,4
210,load CSV File,ideal.csv,0.015625,100,4
211,interpolate Data,ideal.csv,0.0,100,4
212,save CSV File,ideal.csv,0.03125,100,4
213,fill SQL Database,ideal.csv,0.234375,100,4
214,fill SQL Database,train.csv,0.046875,100,4
215,GET SQL Data,ideal.csv,0.015625,100,4
216,GET SQL Data,train.csv,0.0,100,4
217,Finding all Ideal Functions,,0.09375,100,4
218,Assigning test data,,0.46875,100,4
219,fill SQL Database,test.csv,0.015625,100,4
220,vis results,,0.109375,100,4
221,load CSV File,train.csv,0.0,1000,4
222,interpolate Data,train.csv,0.0,1000,4
223,save CSV File,train.csv,0.015625,1000,4
224,load CSV File,test.csv,0.015625,1000,4
225,interpolate Data,test.csv,0.0,1000,4
226,save CSV File,test.csv,0.0,1000,4
227,load CSV File,ideal.csv,0.015625,1000,4
228,interpolate Data,ideal.csv,0.015625,1000,4
229,save CSV File,ideal.csv,0.203125,1000,4
230,fill SQL Database,ideal.csv,0.203125,1000,4
231,fill SQL Database,train.csv,0.03125,1000,4
232,GET SQL Data,ideal.csv,0.0625,1000,4
233,GET SQL Data,train.csv,0.0,1000,4
234,Finding all Ideal Functions,,0.046875,1000,4
235,Assigning test data,,4.0625,1000,4
236,fill SQL Database,test.csv,0.03125,1000,4
237,vis results,,0.09375,1000,4
238,load CSV File,train.csv,0.0,10000,4
239,interpolate Data,train.csv,0.0,10000,4
240,save CSV File,train.csv,0.203125,10000,4
241,load CSV File,test.csv,0.0,10000,4
242,interpolate Data,test.csv,0.0,10000,4
243,save CSV File,test.csv,0.09375,10000,4
244,load CSV File,ideal.csv,0.015625,10000,4
245,interpolate Data,ideal.csv,0.015625,10000,4
246,save CSV File,ideal.csv,1.65625,10000,4
247,fill SQL Database,ideal.csv,1.484375,10000,4
248,fill SQL Database,train.csv,0.234375,10000,4
249,GET SQL Data,ideal.csv,0.515625,10000,4
250,GET SQL Data,train.csv,0.078125,10000,4
251,Finding all Ideal Functions,,0.0625,10000,4
252,Assigning test data,,45.078125,10000,4
253,fill SQL Database,test.csv,0.234375,10000,4
254,vis results,,0.265625,10000,4
255,load CSV File,train.csv,0.0,100000,4
256,interpolate Data,train.csv,0.03125,100000,4
257,save CSV File,train.csv,1.84375,100000,4
258,load CSV File,test.csv,0.0,100000,4
259,interpolate Data,test.csv,0.015625,100000,4
260,save CSV File,test.csv,0.921875,100000,4
261,load CSV File,ideal.csv,0.0,100000,4
262,interpolate Data,ideal.csv,0.265625,100000,4
263,save CSV File,ideal.csv,16.34375,100000,4
264,fill SQL Database,ideal.csv,15.1875,100000,4
265,fill SQL Database,train.csv,1.921875,100000,4
266,GET SQL Data,ideal.csv,5.28125,100000,4
267,GET SQL Data,train.csv,0.796875,100000,4
268,Finding all Ideal Functions,,0.578125,100000,4
269,Assigning test data,,1546.578125,100000,4
270,fill SQL Database,test.csv,2.359375,100000,4
271,vis results,,1.828125,100000,4
272,load CSV File,train.csv,0.0,100,5
273,interpolate Data,train.csv,0.0,100,5
274,save CSV File,train.csv,0.015625,100,5
275,load CSV File,test.csv,0.0,100,5
276,interpolate Data,test.csv,0.0,100,5
277,save CSV File,test.csv,0.0,100,5
278,load CSV File,ideal.csv,0.0,100,5
279,interpolate Data,ideal.csv,0.015625,100,5
280,save CSV File,ideal.csv,0.015625,100,5
281,fill SQL Database,ideal.csv,0.25,100,5
282,fill SQL Database,train.csv,0.046875,100,5
283,GET SQL Data,ideal.csv,0.0,100,5
284,GET SQL Data,train.csv,0.0,100,5
285,Finding all Ideal Functions,,0.046875,100,5
286,Assigning test data,,0.46875,100,5
287,fill SQL Database,test.csv,0.0,100,5
288,vis results,,0.109375,100,5
289,load CSV File,train.csv,0.0,1000,5
290,interpolate Data,train.csv,0.0,1000,5
291,save CSV File,train.csv,0.03125,1000,5
292,load CSV File,test.csv,0.0,1000,5
293,interpolate Data,test.csv,0.0,1000,5
294,save CSV File,test.csv,0.015625,1000,5
295,load CSV File,ideal.csv,0.0,1000,5
296,interpolate Data,ideal.csv,0.015625,1000,5
297,save CSV File,ideal.csv,0.21875,1000,5
298,fill SQL Database,ideal.csv,0.171875,1000,5
299,fill SQL Database,train.csv,0.03125,1000,5
300,GET SQL Data,ideal.csv,0.0625,1000,5
301,GET SQL Data,train.csv,0.0,1000,5
302,Finding all Ideal Functions,,0.03125,1000,5
303,Assigning test data,,4.390625,1000,5
304,fill SQL Database,test.csv,0.03125,1000,5
305,vis results,,0.125,1000,5
306,load CSV File,train.csv,0.0,10000,5
307,interpolate Data,train.csv,0.0,10000,5
308,save CSV File,train.csv,0.203125,10000,5
309,load CSV File,test.csv,0.0,10000,5
310,interpolate Data,test.csv,0.015625,10000,5
311,save CSV File,test.csv,0.09375,10000,5
312,load CSV File,ideal.csv,0.0,10000,5
